model,condition,seed,DMS_id,MSA_Potts,Evo_Conservation,MSA_Conditioned,ESM_Masked,AR_PLM,xTrimoPGLM,Inverse_Folding,Struct_PLM,Struct_MSA_Hybrid,CNN_RNN
Qwen/Qwen3-14B,conflict_cot,0,CD19_HUMAN_Klesmith_2019_FMC_singles,3.0,4.0,4.0,8.0,2.0,7.0,2.0,9.0,10.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,CP2C9_HUMAN_Amorosi_2021_abundance,9.0,8.0,10.0,9.0,7.0,6.0,4.0,8.0,7.0,9.0
Qwen/Qwen3-14B,conflict_cot,0,CP2C9_HUMAN_Amorosi_2021_activity,7.0,7.0,10.0,9.0,6.0,5.0,3.0,8.0,7.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,CSN4_MOUSE_Tsuboyama_2023_1UFM,9.0,8.0,9.0,7.0,6.0,5.0,3.0,7.0,6.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,CUE1_YEAST_Tsuboyama_2023_2MYX,9.0,8.0,9.0,6.0,2.0,7.0,5.0,8.0,9.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,D7PM05_CLYGR_Somermeyer_2022,5.0,3.0,7.0,2.0,3.0,2.0,5.0,8.0,9.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,DLG4_HUMAN_Faure_2021,7.0,8.0,10.0,8.0,6.0,7.0,2.0,9.0,8.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,DLG4_RAT_McLaughlin_2012,3.0,5.0,9.0,8.0,4.0,6.0,2.0,9.0,7.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,DN7A_SACS2_Tsuboyama_2023_1JIC,7.0,3.0,8.0,6.0,3.0,5.0,7.0,9.0,8.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,DNJA1_HUMAN_Tsuboyama_2023_2LO1,9.0,8.0,10.0,7.0,6.0,5.0,3.0,9.0,8.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,6.0,8.0,9.0,5.0,4.0,7.0,6.0,9.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,DYR_ECOLI_Nguyen_2023,9.0,7.0,10.0,8.0,5.0,7.0,3.0,9.0,10.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,DYR_ECOLI_Thompson_2019,8.0,7.0,10.0,9.0,5.0,7.0,3.0,6.0,7.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,ENVZ_ECOLI_Ghose_2023,9.0,8.0,10.0,7.0,6.0,4.0,3.0,5.0,8.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,ENV_HV1B9_DuenasDecamp_2016,7.0,7.0,9.0,6.0,8.0,5.0,2.0,1.0,6.0,8.0
Qwen/Qwen3-14B,conflict_cot,0,ENV_HV1BR_Haddox_2016,6.0,8.0,9.0,7.0,7.0,7.0,2.0,1.0,6.0,8.0
Qwen/Qwen3-14B,conflict_cot,0,EPHB2_HUMAN_Tsuboyama_2023_1F0M,9.0,8.0,10.0,7.0,6.0,7.0,4.0,8.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,ERBB2_HUMAN_Elazar_2016,6.0,6.0,9.0,10.0,5.0,7.0,2.0,9.0,5.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,ESTA_BACSU_Nutschel_2020,7.0,7.0,9.0,8.0,7.0,8.0,4.0,8.0,9.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,F7YBW8_MESOW_Aakre_2015,7.0,6.0,9.0,9.0,5.0,7.0,3.0,8.0,8.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,F7YBW8_MESOW_Ding_2023,9.0,9.0,10.0,8.0,5.0,5.0,3.0,6.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,FECA_ECOLI_Tsuboyama_2023_2D1U,9.0,7.0,9.0,8.0,4.0,8.0,7.0,9.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,FKBP3_HUMAN_Tsuboyama_2023_2KFV,5.0,5.0,6.0,7.0,6.0,4.0,4.0,9.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,GAL4_YEAST_Kitzman_2015,8.0,7.0,9.0,9.0,6.0,5.0,4.0,7.0,6.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,GCN4_YEAST_Staller_2018,6.0,6.0,5.0,8.0,1.0,5.0,4.0,8.0,7.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,GDIA_HUMAN_Silverstein_2021,6.0,7.0,9.0,9.0,4.0,7.0,2.0,8.0,8.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,GFP_AEQVI_Sarkisyan_2016,3.0,5.0,4.0,7.0,8.0,6.0,7.0,8.0,5.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,GLPA_HUMAN_Elazar_2016,2.0,4.0,5.0,9.0,8.0,7.0,3.0,9.0,7.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,GRB2_HUMAN_Faure_2021,9.0,9.0,10.0,8.0,7.0,5.0,4.0,7.0,8.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,HCP_LAMBD_Tsuboyama_2023_2L6Q,3.0,8.0,6.0,9.0,2.0,5.0,3.0,9.0,8.0,1.0
Qwen/Qwen3-14B,conflict_cot,0,HECD1_HUMAN_Tsuboyama_2023_3DKM,9.0,8.0,9.0,7.0,3.0,6.0,2.0,10.0,8.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,HEM3_HUMAN_Loggerenberg_2023,8.0,7.0,10.0,8.0,6.0,7.0,3.0,9.0,9.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,HIS7_YEAST_Pokusaeva_2019,8.0,6.0,9.0,8.0,6.0,5.0,3.0,6.0,7.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,HMDH_HUMAN_Jiang_2019,5.0,6.0,8.0,9.0,4.0,7.0,2.0,6.0,7.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,8.0,8.0,9.0,8.0,6.0,7.0,3.0,7.0,7.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,HSP82_YEAST_Flynn_2019,7.0,7.0,9.0,9.0,6.0,7.0,3.0,6.0,8.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,HSP82_YEAST_Mishra_2016,7.0,7.0,10.0,9.0,7.0,7.0,3.0,5.0,7.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,HXK4_HUMAN_Gersing_2022_activity,8.0,8.0,10.0,9.0,5.0,7.0,4.0,9.0,8.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,HXK4_HUMAN_Gersing_2023_abundance,8.0,9.0,10.0,9.0,5.0,6.0,3.0,4.0,5.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,I6TAH8_I68A0_Doud_2015,2.0,5.0,4.0,3.0,8.0,5.0,4.0,6.0,7.0,10.0
Qwen/Qwen3-14B,conflict_cot,0,IF1_ECOLI_Kelsic_2016,9.0,7.0,9.0,8.0,6.0,5.0,4.0,9.0,7.0,8.0
Qwen/Qwen3-14B,conflict_cot,0,ILF3_HUMAN_Tsuboyama_2023_2L33,8.0,7.0,9.0,6.0,3.0,3.0,5.0,7.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,ISDH_STAAW_Tsuboyama_2023_2LHR,5.0,5.0,9.0,7.0,6.0,8.0,3.0,8.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,KCNE1_HUMAN_Muhammad_2023_expression,6.0,7.0,9.0,8.0,3.0,4.0,2.0,8.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,KCNE1_HUMAN_Muhammad_2023_function,6.0,6.0,9.0,9.0,4.0,5.0,2.0,7.0,8.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,KCNH2_HUMAN_Kozek_2020,8.0,7.0,9.0,6.0,5.0,5.0,2.0,8.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,KCNJ2_MOUSE_Coyote-Maestas_2022_function,9.0,8.0,9.0,7.0,6.0,7.0,3.0,8.0,9.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,9.0,8.0,9.0,7.0,6.0,7.0,5.0,8.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,KKA2_KLEPN_Melnikov_2014,9.0,8.0,10.0,7.0,6.0,7.0,3.0,8.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,LGK_LIPST_Klesmith_2015,7.0,6.0,9.0,8.0,5.0,6.0,2.0,7.0,9.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,LYAM1_HUMAN_Elazar_2016,4.0,5.0,9.0,8.0,8.0,7.0,2.0,7.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,MAFG_MOUSE_Tsuboyama_2023_1K1V,8.0,5.0,9.0,6.0,7.0,7.0,6.0,10.0,10.0,8.0
Qwen/Qwen3-14B,conflict_cot,0,MBD11_ARATH_Tsuboyama_2023_6ACV,9.0,7.0,10.0,6.0,3.0,7.0,4.0,8.0,8.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,MET_HUMAN_Estevam_2023,8.0,8.0,10.0,9.0,3.0,5.0,2.0,7.0,9.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,MK01_HUMAN_Brenan_2016,8.0,8.0,9.0,9.0,5.0,5.0,3.0,7.0,7.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,MLAC_ECOLI_MacRae_2023,6.0,6.0,9.0,8.0,5.0,7.0,3.0,7.0,9.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,MSH2_HUMAN_Jia_2020,7.0,7.0,10.0,9.0,6.0,7.0,2.0,8.0,8.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,MTH3_HAEAE_RockahShmuel_2015,9.0,8.0,10.0,9.0,8.0,7.0,2.0,7.0,9.0,8.0
Qwen/Qwen3-14B,conflict_cot,0,MTHR_HUMAN_Weile_2021,3.0,3.0,9.0,9.0,8.0,8.0,2.0,7.0,8.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,MYO3_YEAST_Tsuboyama_2023_2BTT,7.0,4.0,10.0,6.0,3.0,9.0,2.0,7.0,10.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,NCAP_I34A1_Doud_2015,2.0,4.0,3.0,2.0,8.0,5.0,4.0,5.0,7.0,9.0
Qwen/Qwen3-14B,conflict_cot,0,NKX31_HUMAN_Tsuboyama_2023_2L9R,9.0,8.0,10.0,8.0,6.0,5.0,3.0,9.0,6.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,NPC1_HUMAN_Erwood_2022_HEK293T,5.0,6.0,9.0,7.0,2.0,6.0,3.0,5.0,8.0,1.0
Qwen/Qwen3-14B,conflict_cot,0,NRAM_I33A0_Jiang_2016,8.0,9.0,8.0,4.0,5.0,3.0,2.0,5.0,6.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,NUD15_HUMAN_Suiter_2020,9.0,7.0,10.0,6.0,5.0,7.0,3.0,6.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,NUSA_ECOLI_Tsuboyama_2023_1WCL,9.0,7.0,9.0,7.0,5.0,7.0,8.0,9.0,8.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,NUSG_MYCTU_Tsuboyama_2023_2MI6,8.0,7.0,9.0,6.0,5.0,7.0,4.0,9.0,8.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,OBSCN_HUMAN_Tsuboyama_2023_1V1C,7.0,6.0,10.0,7.0,3.0,3.0,4.0,9.0,9.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,ODP2_GEOSE_Tsuboyama_2023_1W4G,9.0,7.0,10.0,6.0,6.0,7.0,3.0,8.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,OPSD_HUMAN_Wan_2019,8.0,7.0,9.0,6.0,5.0,7.0,2.0,7.0,10.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,OTC_HUMAN_Lo_2023,8.0,7.0,10.0,9.0,6.0,8.0,2.0,7.0,8.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,OTU7A_HUMAN_Tsuboyama_2023_2L2D,7.0,6.0,9.0,5.0,3.0,4.0,6.0,8.0,10.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,OXDA_RHOTO_Vanella_2023_activity,7.0,6.0,9.0,8.0,7.0,7.0,2.0,7.0,8.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,OXDA_RHOTO_Vanella_2023_expression,7.0,6.0,10.0,8.0,7.0,7.0,3.0,9.0,9.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,P53_HUMAN_Giacomelli_2018_Null_Etoposide,4.0,6.0,5.0,9.0,7.0,7.0,2.0,8.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,P53_HUMAN_Giacomelli_2018_Null_Nutlin,4.0,5.0,5.0,9.0,7.0,6.0,3.0,8.0,10.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,P53_HUMAN_Giacomelli_2018_WT_Nutlin,5.0,4.0,5.0,9.0,7.0,6.0,3.0,8.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,P53_HUMAN_Kotler_2018,4.0,5.0,5.0,9.0,8.0,7.0,2.0,8.0,6.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,P84126_THETH_Chan_2017,8.0,7.0,9.0,9.0,7.0,7.0,2.0,6.0,8.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,PABP_YEAST_Melamed_2013,7.0,6.0,9.0,9.0,7.0,6.0,3.0,5.0,8.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,PAI1_HUMAN_Huttinger_2021,7.0,6.0,10.0,9.0,5.0,7.0,2.0,8.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,PA_I34A1_Wu_2015,7.0,8.0,8.0,2.0,5.0,4.0,3.0,3.0,6.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,PHOT_CHLRE_Chen_2023,6.0,7.0,9.0,9.0,8.0,7.0,4.0,7.0,10.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,PIN1_HUMAN_Tsuboyama_2023_1I6C,7.0,6.0,9.0,8.0,5.0,5.0,7.0,8.0,8.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,PITX2_HUMAN_Tsuboyama_2023_2L7M,10.0,9.0,10.0,7.0,6.0,5.0,4.0,9.0,8.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,PKN1_HUMAN_Tsuboyama_2023_1URF,4.0,6.0,9.0,7.0,5.0,5.0,3.0,8.0,8.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,POLG_CXB3N_Mattenberger_2021,3.0,8.0,4.0,7.0,5.0,7.0,2.0,5.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,POLG_DEN26_Suphatrakul_2023,2.0,8.0,9.0,7.0,8.0,7.0,3.0,4.0,9.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,POLG_HCVJF_Qi_2014,6.0,7.0,9.0,4.0,5.0,7.0,3.0,4.0,8.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,POLG_PESV_Tsuboyama_2023_2MXD,9.0,6.0,9.0,5.0,2.0,7.0,4.0,6.0,8.0,8.0
Qwen/Qwen3-14B,conflict_cot,0,PPARG_HUMAN_Majithia_2016,7.0,7.0,9.0,9.0,5.0,7.0,3.0,7.0,8.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,PPM1D_HUMAN_Miller_2022,4.0,5.0,9.0,8.0,7.0,9.0,3.0,6.0,5.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,PR40A_HUMAN_Tsuboyama_2023_1UZC,9.0,8.0,9.0,8.0,7.0,6.0,5.0,9.0,8.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,PRKN_HUMAN_Clausen_2023,7.0,6.0,9.0,8.0,5.0,7.0,2.0,7.0,10.0,1.0
Qwen/Qwen3-14B,conflict_cot,0,PSAE_PICP2_Tsuboyama_2023_1PSE,8.0,9.0,8.0,9.0,6.0,7.0,3.0,7.0,8.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,PTEN_HUMAN_Matreyek_2021,8.0,7.0,9.0,8.0,2.0,5.0,3.0,9.0,9.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,PTEN_HUMAN_Mighell_2018,9.0,8.0,9.0,7.0,3.0,4.0,6.0,9.0,9.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,Q2N0S5_9HIV1_Haddox_2018,5.0,8.0,9.0,7.0,6.0,6.0,3.0,2.0,5.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,7.0,7.0,9.0,8.0,5.0,7.0,3.0,8.0,7.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,Q53Z42_HUMAN_McShan_2019_expression,8.0,7.0,9.0,9.0,5.0,5.0,3.0,7.0,6.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,Q59976_STRSQ_Romero_2015,9.0,7.0,10.0,7.0,6.0,5.0,2.0,7.0,9.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,Q6WV12_9MAXI_Somermeyer_2022,3.0,2.0,6.0,5.0,5.0,4.0,4.0,7.0,8.0,9.0
Qwen/Qwen3-14B,conflict_cot,0,Q837P4_ENTFA_Meier_2023,8.0,7.0,9.0,6.0,2.0,7.0,1.0,8.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,Q837P5_ENTFA_Meier_2023,8.0,8.0,10.0,9.0,2.0,7.0,3.0,8.0,9.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,Q8WTC7_9CNID_Somermeyer_2022,4.0,3.0,5.0,2.0,6.0,1.0,4.0,7.0,8.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,R1AB_SARS2_Flynn_2022,4.0,6.0,8.0,2.0,3.0,5.0,4.0,7.0,9.0,1.0
Qwen/Qwen3-14B,conflict_cot,0,RAD_ANTMA_Tsuboyama_2023_2CJJ,6.0,6.0,9.0,7.0,5.0,7.0,4.0,8.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,RAF1_HUMAN_Zinkus-Boltz_2019,6.0,7.0,9.0,8.0,5.0,7.0,3.0,9.0,7.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,RASH_HUMAN_Bandaru_2017,8.0,8.0,10.0,7.0,5.0,5.0,2.0,9.0,8.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,RASK_HUMAN_Weng_2022_abundance,9.0,8.0,10.0,8.0,5.0,7.0,2.0,9.0,8.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,RASK_HUMAN_Weng_2022_binding-DARPin_K55,9.0,8.0,10.0,7.0,5.0,7.0,3.0,9.0,8.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,RBP1_HUMAN_Tsuboyama_2023_2KWH,7.0,8.0,9.0,9.0,3.0,6.0,4.0,9.0,10.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,RCD1_ARATH_Tsuboyama_2023_5OAO,8.0,7.0,9.0,6.0,3.0,5.0,7.0,10.0,9.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,RCRO_LAMBD_Tsuboyama_2023_1ORC,9.0,9.0,10.0,7.0,3.0,8.0,2.0,9.0,8.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,RD23A_HUMAN_Tsuboyama_2023_1IFY,9.0,7.0,10.0,6.0,5.0,7.0,8.0,10.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,RDRP_I33A0_Li_2023,7.0,8.0,8.0,4.0,5.0,5.0,3.0,6.0,9.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,REV_HV1H2_Fernandes_2016,9.0,7.0,9.0,8.0,5.0,7.0,3.0,6.0,8.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,RFAH_ECOLI_Tsuboyama_2023_2LCL,9.0,7.0,9.0,7.0,5.0,4.0,3.0,8.0,9.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,RL20_AQUAE_Tsuboyama_2023_1GYZ,9.0,8.0,9.0,8.0,5.0,6.0,4.0,9.0,9.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,RL40A_YEAST_Mavor_2016,6.0,6.0,9.0,9.0,6.0,4.0,3.0,7.0,6.0,6.0
